t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSMUSG00000032899	ENSMUST00000049150.Styk1	reg_3069	ENSMUST00000049150.Styk1.9467	one2one
ENSMUSG00000032899	ENSMUST00000121078.Styk1	reg_3069	ENSMUST00000121078.Styk1.9467	one2one
ENSMUSG00000074437	ENSMUST00000098890.Defa29	reg_517	ENSMUST00000098890.Defa29.902723	many2one
ENSMUSG00000094362	ENSMUST00000120874.Defa33	reg_517	ENSMUST00000120874.Defa33.639214	many2one
ENSMUSG00000079114	ENSMUST00000110752.Defa42	reg_517	ENSMUST00000110752.Defa42.930474	many2one
ENSMUSG00000079120	ENSMUST00000110758.AY761185	reg_517	ENSMUST00000110758.AY761185.985652	many2one
ENSMUSG00000079113	ENSMUST00000110749.Defa43	reg_517	ENSMUST00000110749.Defa43.939196	many2one
ENSMUSG00000094818	ENSMUST00000084041.Defa32	reg_517	ENSMUST00000084041.Defa32.676625	many2one
ENSMUSG00000074434	ENSMUST00000098887.Defa28	reg_517	ENSMUST00000098887.Defa28.331369	many2one
ENSMUSG00000057735	ENSMUST00000075025.Olfr1185-ps1	reg_380	ENSMUST00000075025.Olfr1185-ps1.41649	many2many
ENSMUSG00000057735	ENSMUST00000075025.Olfr1185-ps1	reg_146	ENSMUST00000075025.Olfr1185-ps1.55378	many2many
ENSMUSG00000057735	ENSMUST00000075025.Olfr1185-ps1	reg_857	ENSMUST00000075025.Olfr1185-ps1.48648	many2many
ENSMUSG00000075170	ENSMUST00000217403.Olfr1097	reg_593	ENSMUST00000217403.Olfr1097.31096	many2many
ENSMUSG00000075170	ENSMUST00000111576.Olfr1097	reg_593	ENSMUST00000111576.Olfr1097.31096	many2many
ENSMUSG00000109801	ENSMUST00000213696.Olfr1316	reg_147	ENSMUST00000213696.Olfr1316.19241	many2many
ENSMUSG00000109801	ENSMUST00000213696.Olfr1316	reg_312	ENSMUST00000213696.Olfr1316.30501	many2many
ENSMUSG00000109801	ENSMUST00000213696.Olfr1316	reg_148	ENSMUST00000213696.Olfr1316.30226	many2many
ENSMUSG00000109801	ENSMUST00000213696.Olfr1316	reg_855	ENSMUST00000213696.Olfr1316.31001	many2many
ENSMUSG00000109801	ENSMUST00000213696.Olfr1316	reg_652	ENSMUST00000213696.Olfr1316.39914	many2many
ENSMUSG00000075113	ENSMUST00000213136.Olfr1209	reg_146	ENSMUST00000213136.Olfr1209.34641	many2many
ENSMUSG00000075113	ENSMUST00000213136.Olfr1209	reg_5592	ENSMUST00000213136.Olfr1209.38445	many2many
ENSMUSG00000075113	ENSMUST00000213136.Olfr1209	reg_145	ENSMUST00000213136.Olfr1209.63744	many2many
ENSMUSG00000075113	ENSMUST00000213136.Olfr1209	reg_14889	ENSMUST00000213136.Olfr1209.35837	many2many
ENSMUSG00000075113	ENSMUST00000213136.Olfr1209	reg_3266	ENSMUST00000213136.Olfr1209.20693	many2many
ENSMUSG00000075113	ENSMUST00000099809.Olfr1209	reg_14889	ENSMUST00000099809.Olfr1209.35837	many2many
ENSMUSG00000075113	ENSMUST00000099809.Olfr1209	reg_3266	ENSMUST00000099809.Olfr1209.20693	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_1104	ENSMUST00000216275.Olfr342.40098	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_7477	ENSMUST00000216275.Olfr342.41295	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_1460	ENSMUST00000216275.Olfr342.27148	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_6616	ENSMUST00000216275.Olfr342.23367	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_2736	ENSMUST00000216275.Olfr342.21153	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_6615	ENSMUST00000216275.Olfr342.24184	many2many
ENSMUSG00000111869	ENSMUST00000216275.Olfr342	reg_9417	ENSMUST00000216275.Olfr342.80780	many2many
ENSMUSG00000111869	ENSMUST00000074192.Olfr342	reg_6616	ENSMUST00000074192.Olfr342.23367	many2many
ENSMUSG00000111869	ENSMUST00000074192.Olfr342	reg_1460	ENSMUST00000074192.Olfr342.27148	many2many
ENSMUSG00000111869	ENSMUST00000074192.Olfr342	reg_1104	ENSMUST00000074192.Olfr342.40098	many2many
ENSMUSG00000111869	ENSMUST00000074192.Olfr342	reg_6615	ENSMUST00000074192.Olfr342.24184	many2many
ENSMUSG00000111869	ENSMUST00000074192.Olfr342	reg_7477	ENSMUST00000074192.Olfr342.41295	many2many
ENSMUSG00000063120	ENSMUST00000071658.Olfr480	reg_4630	ENSMUST00000071658.Olfr480.12530	many2many
ENSMUSG00000063120	ENSMUST00000217653.Olfr480	reg_4630	ENSMUST00000217653.Olfr480.12530	many2many
ENSMUSG00000063120	ENSMUST00000217653.Olfr480	reg_2378	ENSMUST00000217653.Olfr480.42185	many2many
ENSMUSG00000063120	ENSMUST00000217653.Olfr480	reg_1038	ENSMUST00000217653.Olfr480.42140	many2many
ENSMUSG00000096566	ENSMUST00000099607.Olfr1306	reg_14945	ENSMUST00000099607.Olfr1306.30487	many2many
ENSMUSG00000096566	ENSMUST00000099607.Olfr1306	reg_17452	ENSMUST00000099607.Olfr1306.44159	many2many
ENSMUSG00000096566	ENSMUST00000214844.Olfr1306	reg_14945	ENSMUST00000214844.Olfr1306.30487	many2many
ENSMUSG00000096566	ENSMUST00000214844.Olfr1306	reg_17391	ENSMUST00000214844.Olfr1306.47823	many2many
ENSMUSG00000096566	ENSMUST00000214844.Olfr1306	reg_17452	ENSMUST00000214844.Olfr1306.44159	many2many
ENSMUSG00000096566	ENSMUST00000214844.Olfr1306	reg_11936	ENSMUST00000214844.Olfr1306.31436	many2many
ENSMUSG00000095322	ENSMUST00000216177.Olfr957	reg_3	ENSMUST00000216177.Olfr957.46816	many2many
ENSMUSG00000095322	ENSMUST00000216177.Olfr957	reg_3214	ENSMUST00000216177.Olfr957.17950	many2many
ENSMUSG00000095322	ENSMUST00000216177.Olfr957	reg_1985	ENSMUST00000216177.Olfr957.21403	many2many
ENSMUSG00000095322	ENSMUST00000051653.Olfr957	reg_1985	ENSMUST00000051653.Olfr957.21403	many2many
ENSMUSG00000095322	ENSMUST00000051653.Olfr957	reg_3	ENSMUST00000051653.Olfr957.46816	many2many
ENSMUSG00000095322	ENSMUST00000051653.Olfr957	reg_3214	ENSMUST00000051653.Olfr957.17950	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_222	ENSMUST00000216496.Olfr911-ps1.30935	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_3160	ENSMUST00000216496.Olfr911-ps1.89760	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_652	ENSMUST00000216496.Olfr911-ps1.110395	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_1222	ENSMUST00000216496.Olfr911-ps1.46671	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_3961	ENSMUST00000216496.Olfr911-ps1.140832	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_5647	ENSMUST00000216496.Olfr911-ps1.72597	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_3215	ENSMUST00000216496.Olfr911-ps1.42901	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_377	ENSMUST00000216496.Olfr911-ps1.65957	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_1432	ENSMUST00000216496.Olfr911-ps1.70248	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_736	ENSMUST00000216496.Olfr911-ps1.62224	many2many
ENSMUSG00000062621	ENSMUST00000216496.Olfr911-ps1	reg_148	ENSMUST00000216496.Olfr911-ps1.29691	many2many
ENSMUSG00000049528	ENSMUST00000216346.Olfr429	reg_2034	ENSMUST00000216346.Olfr429.2926	many2many
ENSMUSG00000049528	ENSMUST00000216346.Olfr429	reg_145	ENSMUST00000216346.Olfr429.75336	many2many
ENSMUSG00000049528	ENSMUST00000060693.Olfr429	reg_2034	ENSMUST00000060693.Olfr429.2926	many2many
ENSMUSG00000070311	ENSMUST00000212992.Olfr894	reg_5672	ENSMUST00000212992.Olfr894.56059	many2many
ENSMUSG00000070311	ENSMUST00000212992.Olfr894	reg_7393	ENSMUST00000212992.Olfr894.23174	many2many
ENSMUSG00000070311	ENSMUST00000093866.Olfr894	reg_7393	ENSMUST00000093866.Olfr894.23174	many2many
ENSMUSG00000096009	ENSMUST00000215900.Olfr134	reg_12610	ENSMUST00000215900.Olfr134.28400	many2many
ENSMUSG00000048456	ENSMUST00000054737.Olfr1448	reg_2688	ENSMUST00000054737.Olfr1448.13082	many2many
ENSMUSG00000048456	ENSMUST00000054737.Olfr1448	reg_94	ENSMUST00000054737.Olfr1448.271120	many2many
ENSMUSG00000048456	ENSMUST00000213713.Olfr1448	reg_736	ENSMUST00000213713.Olfr1448.45810	many2many
ENSMUSG00000048456	ENSMUST00000213713.Olfr1448	reg_2688	ENSMUST00000213713.Olfr1448.13082	many2many
ENSMUSG00000048456	ENSMUST00000213713.Olfr1448	reg_94	ENSMUST00000213713.Olfr1448.271120	many2many
ENSMUSG00000048456	ENSMUST00000213177.Olfr1448	reg_736	ENSMUST00000213177.Olfr1448.45810	many2many
ENSMUSG00000048456	ENSMUST00000213177.Olfr1448	reg_94	ENSMUST00000213177.Olfr1448.271120	many2many
ENSMUSG00000048456	ENSMUST00000213177.Olfr1448	reg_2688	ENSMUST00000213177.Olfr1448.13082	many2many
ENSMUSG00000048456	ENSMUST00000213177.Olfr1448	reg_5862	ENSMUST00000213177.Olfr1448.45090	many2many
ENSMUSG00000048456	ENSMUST00000216888.Olfr1448	reg_736	ENSMUST00000216888.Olfr1448.45810	many2many
ENSMUSG00000048456	ENSMUST00000216888.Olfr1448	reg_2688	ENSMUST00000216888.Olfr1448.13082	many2many
ENSMUSG00000048456	ENSMUST00000216888.Olfr1448	reg_94	ENSMUST00000216888.Olfr1448.271120	many2many
ENSMUSG00000062434	ENSMUST00000217279.Olfr516	reg_2989	ENSMUST00000217279.Olfr516.26106	many2many
ENSMUSG00000062434	ENSMUST00000217279.Olfr516	reg_3844	ENSMUST00000217279.Olfr516.21710	many2many
ENSMUSG00000062434	ENSMUST00000217279.Olfr516	reg_511	ENSMUST00000217279.Olfr516.34376	many2many
ENSMUSG00000062434	ENSMUST00000217279.Olfr516	reg_1432	ENSMUST00000217279.Olfr516.29637	many2many
ENSMUSG00000062434	ENSMUST00000217279.Olfr516	reg_652	ENSMUST00000217279.Olfr516.35043	many2many
ENSMUSG00000062434	ENSMUST00000071410.Olfr516	reg_3844	ENSMUST00000071410.Olfr516.21710	many2many
ENSMUSG00000062434	ENSMUST00000216092.Olfr516	reg_3844	ENSMUST00000216092.Olfr516.21710	many2many
ENSMUSG00000062434	ENSMUST00000216092.Olfr516	reg_1432	ENSMUST00000216092.Olfr516.29637	many2many
ENSMUSG00000062434	ENSMUST00000216092.Olfr516	reg_652	ENSMUST00000216092.Olfr516.35043	many2many
ENSMUSG00000062434	ENSMUST00000216092.Olfr516	reg_2989	ENSMUST00000216092.Olfr516.26106	many2many
ENSMUSG00000062434	ENSMUST00000216092.Olfr516	reg_511	ENSMUST00000216092.Olfr516.34376	many2many
ENSMUSG00000075174	ENSMUST00000099877.Olfr1087	reg_220	ENSMUST00000099877.Olfr1087.11909	many2many
ENSMUSG00000075174	ENSMUST00000099877.Olfr1087	reg_7207	ENSMUST00000099877.Olfr1087.86798	many2many
ENSMUSG00000075174	ENSMUST00000099877.Olfr1087	reg_4139	ENSMUST00000099877.Olfr1087.40168	many2many
ENSMUSG00000075174	ENSMUST00000099877.Olfr1087	reg_3431	ENSMUST00000099877.Olfr1087.72862	many2many
ENSMUSG00000075174	ENSMUST00000214141.Olfr1087	reg_7207	ENSMUST00000214141.Olfr1087.86798	many2many
ENSMUSG00000075174	ENSMUST00000214141.Olfr1087	reg_3431	ENSMUST00000214141.Olfr1087.72862	many2many
ENSMUSG00000075174	ENSMUST00000214141.Olfr1087	reg_222	ENSMUST00000214141.Olfr1087.24151	many2many
ENSMUSG00000075174	ENSMUST00000214141.Olfr1087	reg_220	ENSMUST00000214141.Olfr1087.11909	many2many
ENSMUSG00000095858	ENSMUST00000178766.Olfr104-ps	reg_9076	ENSMUST00000178766.Olfr104-ps.25628	many2many
ENSMUSG00000095858	ENSMUST00000178766.Olfr104-ps	reg_12157	ENSMUST00000178766.Olfr104-ps.40001	many2many
ENSMUSG00000095858	ENSMUST00000215398.Olfr104-ps	reg_12157	ENSMUST00000215398.Olfr104-ps.40001	many2many
ENSMUSG00000095858	ENSMUST00000215398.Olfr104-ps	reg_9076	ENSMUST00000215398.Olfr104-ps.25628	many2many
ENSMUSG00000048299	ENSMUST00000050807.Olfr148	reg_3217	ENSMUST00000050807.Olfr148.7888	many2many
