ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR7704841.25046056,16,26,78,Inward,36.0
SRR7704841.25176541,11,16,62,Inward,35.0
SRR7704841.34131411,3,93,132,Inward,36.0
SRR7704841.63342169,18,57,111,Inward,36.0
SRR7704841.68956462,15,7,57,Outward,35.0
SRR7704841.73346884,4,55,95,Outward,35.0
SRR7704841.81331422,0,51,87,Inward,36.0
SRR7704841.81584183,0,105,141,Outward,36.0
SRR7704841.94594377,0,78,114,Outward,36.0
SRR7704841.104307315,18,178,232,Outward,35.0
SRR7704841.113287989,10,37,83,Outward,36.0
