ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR7704840.1419176,6,50,91,Outward,35.0
SRR7704840.1688619,18,26,80,Inward,35.0
SRR7704840.4829806,19,0,54,Outward,35.0
SRR7704840.6312031,0,37,74,Inward,35.0
SRR7704840.8853720,15,56,107,Outward,35.0
SRR7704840.11780797,15,24,75,Inward,35.0
SRR7704840.11947590,0,23,59,Outward,36.0
SRR7704840.17675706,4,17,57,Outward,36.0
SRR7704840.23123331,18,11,65,Outward,36.0
SRR7704840.29526190,18,33,86,Inward,35.0
SRR7704840.30675143,11,16,63,Inward,35.0
SRR7704840.32400073,15,12,63,Inward,35.0
SRR7704840.33661885,0,22,58,Inward,36.0
SRR7704840.36507574,12,9,57,Outward,36.0
SRR7704840.38945814,0,29,64,Outward,35.0
SRR7704840.39666403,13,3,52,Inward,35.0
SRR7704840.40130488,16,14,65,Outward,35.0
SRR7704840.41585135,0,4,39,Outward,35.0
SRR7704840.41819560,0,0,36,Outward,35.0
SRR7704840.42025553,14,58,108,Inward,35.0
SRR7704840.45523508,1,40,77,Inward,36.0
SRR7704840.46284206,16,11,62,Inward,35.0
SRR7704840.53834425,16,90,141,Inward,35.0
SRR7704840.55351048,19,160,216,Outward,35.0
SRR7704840.55502530,4,57,97,Outward,35.0
SRR7704840.56089376,17,161,214,Inward,35.0
SRR7704840.58215610,12,52,100,Outward,35.0
SRR7704840.59718166,6,25,67,Outward,35.0
SRR7704840.63573922,18,101,155,Outward,36.0
SRR7704840.64388969,3,35,73,Inward,35.0
SRR7704840.65115919,0,12,48,Inward,36.0
SRR7704840.69407396,18,114,168,Outward,36.0
SRR7704840.70783489,11,3,50,Outward,35.0
SRR7704840.71940905,16,136,188,Inward,35.0
SRR7704840.74956017,5,38,80,Inward,35.0
SRR7704840.78741941,13,104,153,Outward,35.0
SRR7704840.82361155,18,30,83,Inward,35.0
SRR7704840.83214984,18,147,201,Outward,36.0
SRR7704840.83948923,2,121,159,Outward,36.0
SRR7704840.85461534,8,27,70,Inward,35.0
SRR7704840.86771218,1,17,53,Outward,35.0
SRR7704840.86786976,9,103,148,Inward,35.0
SRR7704840.87566002,17,29,82,Inward,35.0
SRR7704840.88044867,7,21,64,Outward,35.0
SRR7704840.89215345,4,28,67,Inward,35.0
SRR7704840.90947525,0,35,71,Inward,36.0
SRR7704840.92982673,17,72,125,Inward,35.0
SRR7704840.93903799,17,64,117,Inward,35.0
SRR7704840.96206924,14,100,149,Outward,35.0
SRR7704840.99358393,10,85,131,Outward,35.0
SRR7704840.100072726,3,104,143,Outward,35.0
SRR7704840.103073047,0,21,57,Inward,36.0
SRR7704840.109690257,16,22,74,Inward,35.0
SRR7704840.112150597,16,58,110,Inward,35.0
SRR7704840.116255758,19,36,90,Outward,35.0
SRR7704840.119245953,13,21,70,Inward,35.0
SRR7704840.125439260,1,106,143,Outward,35.0
SRR7704840.126093396,20,16,73,Inward,35.0
SRR7704840.131794617,2,41,78,Outward,35.0
SRR7704840.132458775,6,86,127,Outward,35.0
SRR7704840.143618691,12,18,65,Inward,35.0
SRR7704840.144178662,17,21,74,Inward,35.0
SRR7704840.146217398,19,85,140,Inward,35.0
SRR7704840.148732102,0,32,67,Outward,35.0
SRR7704840.150299825,7,111,154,Inward,35.0
SRR7704840.151343663,19,8,63,Inward,36.0
SRR7704840.153130891,18,117,171,Outward,35.0
SRR7704840.153662774,19,29,84,Inward,35.0
SRR7704840.157589399,2,23,62,Outward,35.0
SRR7704840.164262886,3,53,91,Inward,35.0
SRR7704840.168675149,0,37,73,Outward,36.0
