ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR7611052.15864127,1,111,146,Inward,35.0
SRR7611052.17703904,0,22,58,Outward,36.0
SRR7611052.25094206,0,23,59,Outward,36.0
SRR7611052.27598210,0,57,93,Outward,36.0
SRR7611052.34757406,16,74,126,Inward,35.0
SRR7611052.37621043,19,31,86,Outward,35.0
SRR7611052.45339309,16,21,73,Inward,35.0
SRR7611052.47817373,0,93,129,Outward,36.0
SRR7611052.69524141,0,17,53,Outward,36.0
SRR7611052.101319348,0,21,57,Outward,36.0
SRR7611052.102795839,0,112,148,Inward,35.0
SRR7611052.109538635,0,59,95,Inward,36.0
SRR7611052.114859583,2,45,83,Outward,36.0
SRR7611052.120597942,11,25,71,Inward,35.0
SRR7611052.125260112,0,84,120,Inward,35.0
