ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR11434786.6625945,2,149,186,Inward,35.0
SRR11434786.61860815,2,139,176,Inward,35.0
SRR11434786.63401514,2,49,87,Inward,36.0
SRR11434786.66057613,2,101,139,Inward,36.0
SRR11434786.116278774,2,148,186,Inward,36.0
SRR11434786.124098872,2,128,166,Inward,36.0
SRR11434786.130753407,2,67,105,Inward,36.0
SRR11434786.141337899,2,86,123,Inward,35.0
SRR11434786.146973677,2,68,106,Inward,36.0
SRR11434786.170578501,2,138,176,Inward,36.0
SRR11434786.173202639,2,81,119,Inward,36.0
SRR11434786.184331127,18,9,63,Inward,36.0
SRR11434786.209180221,2,95,132,Inward,35.0
SRR11434786.222249110,15,34,85,Outward,35.0
SRR11434786.226247709,9,173,217,Inward,35.0
SRR11434786.233312216,2,8,46,Inward,36.0
SRR11434786.234980643,2,146,184,Inward,36.0
SRR11434786.247583559,2,58,95,Inward,35.0
SRR11434786.266771785,2,85,122,Inward,35.0
SRR11434786.266789463,2,107,144,Inward,35.0
SRR11434786.289802026,2,166,204,Inward,36.0
SRR11434786.301706555,2,185,223,Inward,36.0
SRR11434786.307665014,2,101,138,Inward,35.0
SRR11434786.312551333,2,154,191,Inward,35.0
SRR11434786.329355818,2,104,141,Inward,35.0
SRR11434786.341565154,2,204,241,Inward,35.0
SRR11434786.377881887,5,204,245,Inward,35.0
SRR11434786.389675787,2,20,58,Inward,36.0
SRR11434786.395862434,2,78,115,Inward,35.0
SRR11434786.398118527,2,61,99,Inward,36.0
SRR11434786.401586766,2,36,73,Inward,35.0
SRR11434786.404016362,2,177,215,Inward,36.0
SRR11434786.408656072,2,3,40,Inward,35.0
