t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000129484	ENST00000429687.PARP2	reg_12621	ENST00000429687.PARP2.3769	one2one
ENSG00000129484	ENST00000527915.PARP2	reg_12621	ENST00000527915.PARP2.3769	one2one
ENSG00000129484	ENST00000250416.PARP2	reg_12621	ENST00000250416.PARP2.3769	one2one
ENSG00000089693	ENST00000539187.MLF2	reg_16214	ENST00000539187.MLF2.16730	one2one
ENSG00000121653	ENST00000395629.MAPK8IP1	reg_5548	ENST00000395629.MAPK8IP1.1571	one2one
ENSG00000121653	ENST00000241014.MAPK8IP1	reg_5548	ENST00000241014.MAPK8IP1.1571	one2one
ENSG00000140553	ENST00000394275.UNC45A	reg_6096	ENST00000394275.UNC45A.10224	one2one
ENSG00000140553	ENST00000418476.UNC45A	reg_6096	ENST00000418476.UNC45A.10224	one2one
ENSG00000140553	ENST00000639885.UNC45A	reg_6096	ENST00000639885.UNC45A.10224	one2one
ENSG00000108602	ENST00000494157.ALDH3A1	reg_4067	ENST00000494157.ALDH3A1.40566	one2one
ENSG00000108602	ENST00000395555.ALDH3A1	reg_4067	ENST00000395555.ALDH3A1.40566	one2one
ENSG00000108602	ENST00000225740.ALDH3A1	reg_4067	ENST00000225740.ALDH3A1.40566	one2one
ENSG00000173575	ENST00000626874.CHD2	reg_15886	ENST00000626874.CHD2.-1	one2one
ENSG00000173575	ENST00000394196.CHD2	reg_15886	ENST00000394196.CHD2.-1	one2one
ENSG00000155016	ENST00000332884.CYP2U1	reg_14780	ENST00000332884.CYP2U1.27468	one2one
ENSG00000196341	ENST00000641897.OR8D1	reg_759	ENST00000641897.OR8D1.103824	many2many
ENSG00000196341	ENST00000641897.OR8D1	reg_1819	ENST00000641897.OR8D1.114493	many2many
ENSG00000196341	ENST00000641897.OR8D1	reg_2737	ENST00000641897.OR8D1.36008	many2many
ENSG00000196341	ENST00000641897.OR8D1	reg_2379	ENST00000641897.OR8D1.104389	many2many
ENSG00000196341	ENST00000641897.OR8D1	reg_2816	ENST00000641897.OR8D1.105097	many2many
ENSG00000196341	ENST00000641897.OR8D1	reg_10212	ENST00000641897.OR8D1.105857	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_232	ENST00000641342.OR5B2.58673	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_1152	ENST00000641342.OR5B2.91886	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_2815	ENST00000641342.OR5B2.87527	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_963	ENST00000641342.OR5B2.69326	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_964	ENST00000641342.OR5B2.97327	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_2302	ENST00000641342.OR5B2.107774	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_1504	ENST00000641342.OR5B2.78110	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_759	ENST00000641342.OR5B2.52016	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_889	ENST00000641342.OR5B2.50824	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_2805	ENST00000641342.OR5B2.65648	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_760	ENST00000641342.OR5B2.67493	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_1363	ENST00000641342.OR5B2.93708	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_761	ENST00000641342.OR5B2.58083	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_888	ENST00000641342.OR5B2.29188	many2many
ENSG00000172365	ENST00000641342.OR5B2	reg_1818	ENST00000641342.OR5B2.44776	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_19538	ENST00000357377.OR5B17.118364	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_9331	ENST00000357377.OR5B17.1286780	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_760	ENST00000357377.OR5B17.84201	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_7507	ENST00000357377.OR5B17.411147	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_888	ENST00000357377.OR5B17.61321	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_2815	ENST00000357377.OR5B17.108431	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_8148	ENST00000357377.OR5B17.213778	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_7037	ENST00000357377.OR5B17.85708	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_235	ENST00000357377.OR5B17.95082	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_759	ENST00000357377.OR5B17.73137	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_7008	ENST00000357377.OR5B17.752284	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_5384	ENST00000357377.OR5B17.253989	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_11648	ENST00000357377.OR5B17.190295	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_11647	ENST00000357377.OR5B17.236895	many2many
ENSG00000197786	ENST00000357377.OR5B17	reg_236	ENST00000357377.OR5B17.105636	many2many
ENSG00000203661	ENST00000641363.OR2T5	reg_2866	ENST00000641363.OR2T5.53484	many2many
ENSG00000203661	ENST00000641363.OR2T5	reg_2205	ENST00000641363.OR2T5.34693	many2many
ENSG00000203661	ENST00000641363.OR2T5	reg_10399	ENST00000641363.OR2T5.58137	many2many
ENSG00000234560	ENST00000641224.OR10G8	reg_233	ENST00000641224.OR10G8.55037	many2many
ENSG00000221938	ENST00000641068.OR2A14	reg_236	ENST00000641068.OR2A14.59203	many2many
ENSG00000221938	ENST00000641068.OR2A14	reg_1492	ENST00000641068.OR2A14.71352	many2many
ENSG00000221938	ENST00000641068.OR2A14	reg_1328	ENST00000641068.OR2A14.35148	many2many
ENSG00000221938	ENST00000641068.OR2A14	reg_1363	ENST00000641068.OR2A14.108180	many2many
ENSG00000174982	ENST00000641692.OR4S2	reg_2306	ENST00000641692.OR4S2.174809	many2many
ENSG00000174982	ENST00000641692.OR4S2	reg_9390	ENST00000641692.OR4S2.57018	many2many
ENSG00000174982	ENST00000641692.OR4S2	reg_8568	ENST00000641692.OR4S2.60821	many2many
ENSG00000231192	ENST00000641874.OR5H1	reg_6234	ENST00000641874.OR5H1.76271	many2many
ENSG00000231192	ENST00000641874.OR5H1	reg_8182	ENST00000641874.OR5H1.68472	many2many
ENSG00000255223	ENST00000528616.OR5M11	reg_14991	ENST00000528616.OR5M11.70533	many2many
ENSG00000255223	ENST00000528616.OR5M11	reg_760	ENST00000528616.OR5M11.48973	many2many
ENSG00000159961	ENST00000641141.OR3A3	reg_4226	ENST00000641141.OR3A3.56298	many2many
ENSG00000159961	ENST00000641141.OR3A3	reg_3672	ENST00000641141.OR3A3.80479	many2many
ENSG00000159961	ENST00000641141.OR3A3	reg_4225	ENST00000641141.OR3A3.74641	many2many
ENSG00000159961	ENST00000641141.OR3A3	reg_3931	ENST00000641141.OR3A3.41491	many2many
ENSG00000159961	ENST00000291231.OR3A3	reg_3931	ENST00000291231.OR3A3.41491	many2many
ENSG00000150269	ENST00000279791.OR5M9	reg_6035	ENST00000279791.OR5M9.319517	many2many
ENSG00000150269	ENST00000279791.OR5M9	reg_9812	ENST00000279791.OR5M9.34843	many2many
ENSG00000150269	ENST00000279791.OR5M9	reg_232	ENST00000279791.OR5M9.321032	many2many
ENSG00000183024	ENST00000328890.OR1G1	reg_4225	ENST00000328890.OR1G1.76163	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_6504	ENST00000328188.OR4C46.44284	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_3259	ENST00000328188.OR4C46.69751	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_4226	ENST00000328188.OR4C46.60908	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_3529	ENST00000328188.OR4C46.40622	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_4225	ENST00000328188.OR4C46.94628	many2many
ENSG00000185926	ENST00000328188.OR4C46	reg_1493	ENST00000328188.OR4C46.70413	many2many
ENSG00000254466	ENST00000530162.OR4D10	reg_236	ENST00000530162.OR4D10.65264	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_6504	ENST00000610894.OR8H1.17965	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_2730	ENST00000610894.OR8H1.62297	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_715	ENST00000610894.OR8H1.583385	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_233	ENST00000610894.OR8H1.18349	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_8913	ENST00000610894.OR8H1.2037876	many2many
ENSG00000181693	ENST00000610894.OR8H1	reg_239	ENST00000610894.OR8H1.58072	many2many
ENSG00000181693	ENST00000641600.OR8H1	reg_239	ENST00000641600.OR8H1.58072	many2many
ENSG00000181693	ENST00000641600.OR8H1	reg_2730	ENST00000641600.OR8H1.62297	many2many
ENSG00000181693	ENST00000641600.OR8H1	reg_233	ENST00000641600.OR8H1.18349	many2many
ENSG00000181693	ENST00000641600.OR8H1	reg_6504	ENST00000641600.OR8H1.17965	many2many
ENSG00000175143	ENST00000366474.OR2T1	reg_6166	ENST00000366474.OR2T1.39877	many2many
ENSG00000175143	ENST00000642005.OR2T1	reg_6166	ENST00000642005.OR2T1.39877	many2many
ENSG00000175143	ENST00000642005.OR2T1	reg_759	ENST00000642005.OR2T1.60413	many2many
ENSG00000205030	ENST00000378397.OR5L2	reg_5385	ENST00000378397.OR5L2.113957	many2many
ENSG00000205030	ENST00000378397.OR5L2	reg_9181	ENST00000378397.OR5L2.54304	many2many
ENSG00000197403	ENST00000641846.OR6N1	reg_1086	ENST00000641846.OR6N1.14082	many2many
ENSG00000197403	ENST00000641846.OR6N1	reg_4226	ENST00000641846.OR6N1.66980	many2many
ENSG00000197403	ENST00000641846.OR6N1	reg_233	ENST00000641846.OR6N1.107530	many2many
ENSG00000186513	ENST00000641291.OR9Q2	reg_5871	ENST00000641291.OR9Q2.13968	many2many
