t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSMUSG00000025410	ENSMUST00000026479.Dctn2	reg_9087	ENSMUST00000026479.Dctn2.2208	one2one
ENSMUSG00000059410	ENSMUST00000076119.Tas2r125	None	None	one2zero
ENSMUSG00000001663	ENSMUST00000120177.Gstt1	None	None	one2zero
ENSMUSG00000001663	ENSMUST00000001713.Gstt1	None	None	one2zero
ENSMUSG00000023456	ENSMUST00000172132.Tpi1	reg_4199	ENSMUST00000172132.Tpi1.6108	one2one
ENSMUSG00000023456	ENSMUST00000239432.Tpi1	reg_4199	ENSMUST00000239432.Tpi1.6108	one2one
ENSMUSG00000030068	ENSMUST00000155466.Gm20696	reg_15617	ENSMUST00000155466.Gm20696.-1	many2one
ENSMUSG00000093661	ENSMUST00000032151.Eif4e3	reg_15617	ENSMUST00000032151.Eif4e3.-1	many2one
ENSMUSG00000043857	ENSMUST00000103027.Mgat5b	reg_7086	ENSMUST00000103027.Mgat5b.-1	one2one
ENSMUSG00000035031	ENSMUST00000064873.C8a	reg_10320	ENSMUST00000064873.C8a.137	one2one
ENSMUSG00000035031	ENSMUST00000048947.C8a	reg_10320	ENSMUST00000048947.C8a.137	one2one
ENSMUSG00000035031	ENSMUST00000106808.C8a	reg_10320	ENSMUST00000106808.C8a.137	one2one
ENSMUSG00000048915	ENSMUST00000078839.Efna5	reg_12327	ENSMUST00000078839.Efna5.-1	one2one
ENSMUSG00000048915	ENSMUST00000076840.Efna5	reg_12327	ENSMUST00000076840.Efna5.-1	one2one
ENSMUSG00000039330	ENSMUST00000235569.Tsga10ip	None	None	one2zero
ENSMUSG00000098947	ENSMUST00000183378.V1rg10	None	None	one2zero
ENSMUSG00000057841	ENSMUST00000203816.Rpl32	reg_14346	ENSMUST00000203816.Rpl32.15913	one2one
ENSMUSG00000057841	ENSMUST00000081840.Rpl32	reg_14346	ENSMUST00000081840.Rpl32.15913	one2one
ENSMUSG00000022610	ENSMUST00000088827.Mapk12	reg_346	ENSMUST00000088827.Mapk12.493	one2one
ENSMUSG00000036091	ENSMUST00000040059.Hyal3	reg_4549	ENSMUST00000040059.Hyal3.902	one2one
ENSMUSG00000036091	ENSMUST00000148440.Hyal3	reg_4549	ENSMUST00000148440.Hyal3.902	one2one
ENSMUSG00000060303	ENSMUST00000071484.Olfr1447	reg_2758	ENSMUST00000071484.Olfr1447.398099	many2many
ENSMUSG00000060303	ENSMUST00000071484.Olfr1447	reg_4691	ENSMUST00000071484.Olfr1447.102724	many2many
ENSMUSG00000060303	ENSMUST00000216989.Olfr1447	reg_75	ENSMUST00000216989.Olfr1447.90078	many2many
ENSMUSG00000060303	ENSMUST00000216989.Olfr1447	reg_4691	ENSMUST00000216989.Olfr1447.102724	many2many
ENSMUSG00000060303	ENSMUST00000216989.Olfr1447	reg_2489	ENSMUST00000216989.Olfr1447.42994	many2many
ENSMUSG00000060303	ENSMUST00000216989.Olfr1447	reg_2490	ENSMUST00000216989.Olfr1447.67433	many2many
ENSMUSG00000060303	ENSMUST00000216989.Olfr1447	reg_2758	ENSMUST00000216989.Olfr1447.398099	many2many
ENSMUSG00000075104	ENSMUST00000099797.Olfr1219	reg_42	ENSMUST00000099797.Olfr1219.28384	many2many
ENSMUSG00000075104	ENSMUST00000099797.Olfr1219	reg_195	ENSMUST00000099797.Olfr1219.80026	many2many
ENSMUSG00000075104	ENSMUST00000099797.Olfr1219	reg_2190	ENSMUST00000099797.Olfr1219.43658	many2many
ENSMUSG00000075104	ENSMUST00000099797.Olfr1219	reg_3518	ENSMUST00000099797.Olfr1219.77347	many2many
ENSMUSG00000075104	ENSMUST00000214442.Olfr1219	reg_3518	ENSMUST00000214442.Olfr1219.77347	many2many
ENSMUSG00000075104	ENSMUST00000214442.Olfr1219	reg_42	ENSMUST00000214442.Olfr1219.28384	many2many
