t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSMUSG00000026100	ENSMUST00000027269.Mstn	reg_16100	ENSMUST00000027269.Mstn.4544	one2one
ENSMUSG00000060510	ENSMUST00000174462.Zfp266	None	None	one2zero
ENSMUSG00000060510	ENSMUST00000068296.Zfp266	None	None	one2zero
ENSMUSG00000025025	ENSMUST00000236973.Mxi1	reg_4792	ENSMUST00000236973.Mxi1.4735	one2one
ENSMUSG00000025025	ENSMUST00000235880.Mxi1	reg_4792	ENSMUST00000235880.Mxi1.4735	one2one
ENSMUSG00000025025	ENSMUST00000003870.Mxi1	reg_4792	ENSMUST00000003870.Mxi1.-1	one2one
ENSMUSG00000025025	ENSMUST00000025998.Mxi1	reg_4792	ENSMUST00000025998.Mxi1.4735	one2one
ENSMUSG00000025025	ENSMUST00000111737.Mxi1	reg_4792	ENSMUST00000111737.Mxi1.-1	one2one
ENSMUSG00000025025	ENSMUST00000235201.Mxi1	reg_4792	ENSMUST00000235201.Mxi1.4735	one2one
ENSMUSG00000035620	ENSMUST00000095385.Ric8b	reg_8526	ENSMUST00000095385.Ric8b.-1	one2one
ENSMUSG00000035620	ENSMUST00000038523.Ric8b	reg_8526	ENSMUST00000038523.Ric8b.-1	one2one
ENSMUSG00000070719	ENSMUST00000094665.Pla2g4d	reg_11060	ENSMUST00000094665.Pla2g4d.-1	one2one
ENSMUSG00000060538	ENSMUST00000121532.Tmem219	reg_2806	ENSMUST00000121532.Tmem219.1612	one2one
ENSMUSG00000060538	ENSMUST00000032926.Tmem219	reg_2806	ENSMUST00000032926.Tmem219.1612	one2one
ENSMUSG00000060538	ENSMUST00000119781.Tmem219	reg_2806	ENSMUST00000119781.Tmem219.1612	one2one
ENSMUSG00000060538	ENSMUST00000120007.Tmem219	reg_2806	ENSMUST00000120007.Tmem219.1612	one2one
ENSMUSG00000024517	ENSMUST00000173985.Grp	reg_15056	ENSMUST00000173985.Grp.6190	one2one
ENSMUSG00000024517	ENSMUST00000025395.Grp	reg_15056	ENSMUST00000025395.Grp.6190	one2one
ENSMUSG00000020831	ENSMUST00000108579.0610010K14Rik	reg_7269	ENSMUST00000108579.0610010K14Rik.9298	one2one
ENSMUSG00000020831	ENSMUST00000108576.0610010K14Rik	reg_7269	ENSMUST00000108576.0610010K14Rik.9298	one2one
