ID,Distance,FusionStart,FusionEnd,FusionType,TotalScore
SRR7704803.32607443,5,5,46,Outward,36.0
SRR7704803.33812334,13,7,56,Inward,36.0
SRR7704803.48344040,14,47,97,Inward,36.0
SRR7704803.71344394,14,24,74,Outward,35.0
SRR7704803.85390460,0,65,101,Outward,36.0
SRR7704803.103751418,11,93,140,Outward,36.0
SRR7704803.153325907,11,112,159,Outward,36.0
SRR7704803.161461369,0,67,103,Outward,36.0
SRR7704803.163678523,0,9,45,Outward,36.0
SRR7704803.165008408,0,1,36,Inward,35.0
SRR7704803.169879128,0,50,86,Outward,36.0
SRR7704803.199654271,0,3,38,Outward,35.0
